trade_date,sentiment_simple,trade_count,avg_pnl
2023-03-28,greed,3,0.0
2023-11-14,greed,1045,0.1488070401913875
2024-03-09,greed,6962,25.418772159436944
2024-07-03,neutral,7141,22.229712656210616
2024-10-27,greed,35241,90.50427150248291
2025-02-19,fear,133871,50.047621894017375
